OrderNumber,Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,OrderQty,UnitPrice,UnitCost,CustomerID,ProductID,Region
ORD-10019,Wholesale,WHS-04,2024-12-11,2024-12-13,2024-12-20,2024-12-23,152,64.73,53.39,CUST-0128,PRD-003,İç Anadolu
ORD-10020,Retail,WHS-01,2025-04-17,2025-04-18,2025-04-25,2025-05-05,267,84.65,54.5,CUST-0060,PRD-001,İç Anadolu
ORD-10021,Retail,WHS-01,2024-09-10,2024-09-13,2024-09-18,2024-09-23,164,68.21,52.48,CUST-0099,PRD-003,Akdeniz
ORD-10022,Wholesale,WHS-04,2024-02-23,2024-02-23,2024-02-27,2024-03-09,424,104.34,72.39,CUST-0227,PRD-004,Akdeniz
ORD-10023,Retail,WHS-01,2024-06-01,2024-06-05,2024-06-07,2024-06-09,167,66.77,53.9,CUST-0161,PRD-004,İç Anadolu
ORD-10024,Online,WHS-06,2025-05-18,2025-05-20,2025-05-21,2025-05-22,464,62.9,43.16,CUST-0022,PRD-002,Marmara
ORD-10025,Retail,WHS-06,2024-12-30,2025-01-01,2025-01-07,2025-01-15,287,49.06,37.58,CUST-0097,PRD-004,Ege
ORD-10026,Wholesale,WHS-01,2025-05-30,2025-06-01,2025-06-02,2025-06-03,176,122.78,75.53,CUST-0006,PRD-003,Marmara
ORD-10027,Online,WHS-05,2024-12-14,2024-12-14,2024-12-20,2024-12-25,103,91.08,78.52,CUST-0253,PRD-001,Akdeniz
ORD-10028,Wholesale,WHS-01,2024-11-18,2024-11-19,2024-11-20,2024-11-30,570,81.35,57.2,CUST-0280,PRD-002,Akdeniz
ORD-10029,Wholesale,WHS-06,2024-06-03,2024-06-04,2024-06-06,2024-06-16,108,85.48,57.28,CUST-0176,PRD-003,İç Anadolu
ORD-10030,Online,WHS-02,2025-06-21,2025-06-23,2025-06-25,2025-07-04,412,102.23,73.49,CUST-0036,PRD-001,İç Anadolu
ORD-10031,Online,WHS-06,2025-04-15,2025-04-18,2025-04-20,2025-04-22,55,56.19,39.92,CUST-0125,PRD-002,Akdeniz
ORD-10032,Retail,WHS-02,2024-10-31,2024-11-03,2024-11-05,2024-11-11,58,58.55,45.28,CUST-0264,PRD-001,Ege
ORD-10033,Online,WHS-04,2024-12-15,2024-12-17,2024-12-24,2025-01-01,273,116.48,77.72,CUST-0147,PRD-001,Ege
ORD-10034,Wholesale,WHS-03,2024-02-27,2024-02-28,2024-03-04,2024-03-14,121,14.91,11.07,CUST-0129,PRD-002,Akdeniz
ORD-10035,Retail,WHS-01,2024-04-05,2024-04-05,2024-04-10,2024-04-15,276,64.24,43.75,CUST-0069,PRD-002,İç Anadolu
ORD-10036,Online,WHS-03,2024-06-02,2024-06-04,2024-06-09,2024-06-15,289,15.69,13.71,CUST-0094,PRD-002,Akdeniz
ORD-10037,Retail,WHS-04,2024-07-22,2024-07-23,2024-07-25,2024-07-30,555,42.31,30.97,CUST-0023,PRD-002,Marmara
ORD-10038,Retail,WHS-06,2024-04-09,2024-04-10,2024-04-14,2024-04-24,446,59.86,42.58,CUST-0004,PRD-004,Marmara
ORD-10039,Wholesale,WHS-02,2024-06-08,2024-06-10,2024-06-14,2024-06-22,384,22.69,14.64,CUST-0101,PRD-004,Marmara
ORD-10040,Wholesale,WHS-01,2024-06-16,2024-06-17,2024-06-20,2024-07-02,289,11.97,10.2,CUST-0253,PRD-003,Marmara
ORD-10041,Retail,WHS-03,2024-03-30,2024-04-03,2024-04-05,2024-04-15,422,33.95,24.55,CUST-0114,PRD-001,İç Anadolu
ORD-10042,Wholesale,WHS-05,2025-02-23,2025-02-23,2025-02-28,2025-03-13,398,52.25,36.76,CUST-0227,PRD-001,Akdeniz
ORD-10043,Wholesale,WHS-04,2024-04-05,2024-04-09,2024-04-13,2024-04-14,529,75.39,60.49,CUST-0286,PRD-001,Ege
ORD-10044,Online,WHS-06,2024-12-07,2024-12-11,2024-12-14,2024-12-17,181,14.67,9.01,CUST-0076,PRD-001,Akdeniz
ORD-10045,Wholesale,WHS-04,2025-01-18,2025-01-21,2025-01-24,2025-02-03,371,13.15,11.25,CUST-0025,PRD-004,Ege
ORD-10046,Wholesale,WHS-05,2025-07-18,2025-07-18,2025-07-25,2025-08-07,46,128.65,78.07,CUST-0122,PRD-001,Akdeniz
ORD-10047,Wholesale,WHS-05,2025-08-10,2025-08-10,2025-08-12,2025-08-22,496,109.54,70.02,CUST-0174,PRD-001,İç Anadolu
ORD-10048,Retail,WHS-01,2024-07-12,2024-07-16,2024-07-21,2024-07-26,426,104.15,79.0,CUST-0145,PRD-003,Ege
ORD-10049,Wholesale,WHS-01,2024-05-11,2024-05-14,2024-05-20,2024-06-01,419,54.31,41.13,CUST-0167,PRD-003,Marmara
ORD-10050,Retail,WHS-02,2024-02-08,2024-02-10,2024-02-15,2024-02-28,224,72.4,47.86,CUST-0001,PRD-003,İç Anadolu
ORD-10051,Online,WHS-04,2025-05-19,2025-05-22,2025-05-23,2025-06-01,121,87.01,77.24,CUST-0160,PRD-001,Ege
ORD-10052,Online,WHS-05,2024-07-31,2024-08-02,2024-08-06,2024-08-11,231,66.3,57.16,CUST-0047,PRD-001,Akdeniz
ORD-10053,Online,WHS-06,2025-02-18,2025-02-18,2025-02-23,2025-03-01,263,83.05,72.59,CUST-0012,PRD-002,İç Anadolu
ORD-10054,Retail,WHS-04,2025-01-07,2025-01-08,2025-01-12,2025-01-16,94,42.36,34.12,CUST-0028,PRD-004,Akdeniz
ORD-10055,Online,WHS-01,2025-05-16,2025-05-16,2025-05-17,2025-05-18,465,67.97,56.35,CUST-0046,PRD-003,Akdeniz
ORD-10056,Online,WHS-06,2024-09-12,2024-09-16,2024-09-23,2024-10-02,454,17.76,11.21,CUST-0251,PRD-001,Ege
ORD-10057,Online,WHS-01,2024-03-05,2024-03-06,2024-03-13,2024-03-14,286,54.86,33.57,CUST-0283,PRD-001,Ege
ORD-10058,Online,WHS-01,2024-04-14,2024-04-16,2024-04-23,2024-04-24,409,14.57,9.23,CUST-0197,PRD-003,Ege
ORD-10059,Online,WHS-06,2025-03-12,2025-03-16,2025-03-21,2025-03-26,462,41.6,33.34,CUST-0001,PRD-003,İç Anadolu
ORD-10060,Online,WHS-05,2025-03-21,2025-03-21,2025-03-22,2025-03-30,38,37.6,31.86,CUST-0154,PRD-002,Akdeniz
ORD-10061,Retail,WHS-06,2024-11-01,2024-11-04,2024-11-05,2024-11-11,240,74.59,47.07,CUST-0112,PRD-003,Ege
ORD-10062,Wholesale,WHS-05,2025-07-31,2025-08-02,2025-08-05,2025-08-12,426,84.1,51.29,CUST-0098,PRD-002,Marmara
ORD-10063,Retail,WHS-03,2025-03-22,2025-03-23,2025-03-27,2025-04-05,170,62.21,38.82,CUST-0030,PRD-003,İç Anadolu
ORD-10064,Retail,WHS-03,2024-05-12,2024-05-16,2024-05-20,2024-05-30,188,104.12,68.16,CUST-0069,PRD-002,Marmara
ORD-10065,Retail,WHS-05,2024-07-23,2024-07-25,2024-07-28,2024-08-08,115,17.43,14.67,CUST-0095,PRD-003,Ege
ORD-10066,Retail,WHS-04,2024-10-07,2024-10-09,2024-10-12,2024-10-23,97,112.22,77.98,CUST-0051,PRD-003,Akdeniz
ORD-10067,Online,WHS-05,2025-06-17,2025-06-21,2025-06-27,2025-06-28,237,50.53,31.7,CUST-0078,PRD-002,Ege
ORD-10068,Online,WHS-03,2024-09-05,2024-09-05,2024-09-11,2024-09-19,354,22.14,16.77,CUST-0026,PRD-004,Marmara
ORD-10069,Online,WHS-01,2024-09-09,2024-09-12,2024-09-19,2024-09-27,530,67.58,51.37,CUST-0216,PRD-002,İç Anadolu
ORD-10070,Online,WHS-02,2024-11-07,2024-11-09,2024-11-16,2024-11-19,367,52.85,44.91,CUST-0294,PRD-003,Ege
ORD-10071,Wholesale,WHS-01,2025-04-29,2025-05-02,2025-05-04,2025-05-11,277,26.98,20.86,CUST-0300,PRD-001,İç Anadolu
ORD-10072,Online,WHS-05,2024-01-25,2024-01-28,2024-01-30,2024-02-02,237,49.42,42.38,CUST-0111,PRD-002,Akdeniz
ORD-10073,Retail,WHS-01,2025-07-07,2025-07-07,2025-07-12,2025-07-18,286,63.19,50.57,CUST-0229,PRD-001,Akdeniz
ORD-10074,Online,WHS-05,2024-10-03,2024-10-06,2024-10-12,2024-10-23,450,31.97,26.38,CUST-0137,PRD-003,Ege
ORD-10075,Wholesale,WHS-03,2024-02-09,2024-02-13,2024-02-17,2024-02-25,227,102.98,72.25,CUST-0075,PRD-004,İç Anadolu
ORD-10076,Wholesale,WHS-06,2025-05-18,2025-05-20,2025-05-26,2025-06-04,198,66.54,46.76,CUST-0173,PRD-004,Ege
ORD-10077,Online,WHS-06,2024-04-27,2024-04-30,2024-05-03,2024-05-07,229,84.36,60.22,CUST-0001,PRD-002,Ege
ORD-10078,Retail,WHS-06,2024-05-18,2024-05-21,2024-05-26,2024-06-06,263,11.54,8.89,CUST-0010,PRD-001,Marmara
ORD-10079,Wholesale,WHS-02,2024-01-13,2024-01-14,2024-01-18,2024-01-19,323,85.45,56.11,CUST-0038,PRD-003,Akdeniz
ORD-10080,Wholesale,WHS-06,2025-08-03,2025-08-06,2025-08-10,2025-08-12,338,123.34,74.97,CUST-0076,PRD-003,İç Anadolu
ORD-10081,Wholesale,WHS-01,2024-11-15,2024-11-18,2024-11-23,2024-12-01,233,24.28,20.12,CUST-0213,PRD-001,Akdeniz
ORD-10082,Online,WHS-03,2024-03-18,2024-03-19,2024-03-25,2024-03-29,46,53.46,34.43,CUST-0295,PRD-004,İç Anadolu
ORD-10083,Retail,WHS-03,2025-02-25,2025-02-25,2025-03-04,2025-03-05,149,95.91,72.47,CUST-0104,PRD-004,Marmara
ORD-10084,Wholesale,WHS-03,2025-08-01,2025-08-03,2025-08-05,2025-08-09,19,98.02,70.9,CUST-0231,PRD-003,Ege
ORD-10085,Online,WHS-06,2024-04-06,2024-04-10,2024-04-15,2024-04-26,293,10.68,7.51,CUST-0010,PRD-001,Marmara
ORD-10086,Wholesale,WHS-02,2024-04-27,2024-05-01,2024-05-08,2024-05-12,220,69.73,50.3,CUST-0136,PRD-001,Marmara
ORD-10087,Online,WHS-04,2024-05-09,2024-05-11,2024-05-18,2024-05-21,296,84.39,58.71,CUST-0148,PRD-003,Akdeniz
ORD-10088,Retail,WHS-02,2025-07-03,2025-07-04,2025-07-10,2025-07-21,400,87.61,73.39,CUST-0210,PRD-001,Akdeniz
ORD-10089,Online,WHS-04,2025-04-04,2025-04-07,2025-04-11,2025-04-15,137,110.9,74.19,CUST-0106,PRD-001,İç Anadolu
ORD-10090,Wholesale,WHS-02,2024-02-20,2024-02-24,2024-03-01,2024-03-09,301,101.13,74.42,CUST-0101,PRD-001,Marmara
ORD-10091,Retail,WHS-06,2024-06-30,2024-06-30,2024-07-01,2024-07-07,571,31.8,22.05,CUST-0137,PRD-002,Akdeniz
ORD-10092,Online,WHS-05,2025-07-28,2025-07-31,2025-08-01,2025-08-11,79,101.45,74.22,CUST-0017,PRD-004,Ege
ORD-10093,Wholesale,WHS-03,2024-06-27,2024-06-27,2024-07-04,2024-07-08,505,96.58,73.61,CUST-0063,PRD-003,Akdeniz
ORD-10094,Retail,WHS-02,2025-04-13,2025-04-13,2025-04-20,2025-04-21,88,55.79,39.42,CUST-0063,PRD-001,Akdeniz
ORD-10095,Online,WHS-01,2024-05-20,2024-05-22,2024-05-25,2024-06-02,322,24.9,20.39,CUST-0286,PRD-004,Akdeniz
ORD-10096,Wholesale,WHS-02,2025-08-12,2025-08-14,2025-08-21,2025-08-23,198,61.98,45.08,CUST-0222,PRD-002,Marmara
ORD-10097,Wholesale,WHS-04,2024-09-20,2024-09-24,2024-10-01,2024-10-08,462,101.17,72.31,CUST-0087,PRD-003,Marmara
ORD-10098,Retail,WHS-05,2024-11-08,2024-11-10,2024-11-17,2024-11-28,332,19.78,12.81,CUST-0067,PRD-003,Akdeniz
ORD-10099,Online,WHS-04,2024-09-20,2024-09-21,2024-09-24,2024-10-02,82,77.75,50.24,CUST-0165,PRD-002,İç Anadolu
ORD-10100,Online,WHS-06,2024-01-07,2024-01-08,2024-01-15,2024-01-16,155,81.31,68.61,CUST-0036,PRD-001,İç Anadolu
ORD-10101,Retail,WHS-02,2025-06-06,2025-06-07,2025-06-14,2025-06-16,475,11.81,7.57,CUST-0293,PRD-002,Marmara
ORD-10102,Retail,WHS-01,2024-02-22,2024-02-25,2024-02-28,2024-03-03,510,74.37,62.27,CUST-0202,PRD-002,Ege
ORD-10103,Wholesale,WHS-06,2024-05-07,2024-05-07,2024-05-09,2024-05-12,213,35.39,25.15,CUST-0237,PRD-001,İç Anadolu
ORD-10104,Wholesale,WHS-01,2024-10-04,2024-10-06,2024-10-12,2024-10-16,446,107.82,72.54,CUST-0293,PRD-003,Ege
ORD-10105,Retail,WHS-02,2024-02-11,2024-02-14,2024-02-15,2024-02-21,38,68.22,46.56,CUST-0076,PRD-003,Akdeniz
ORD-10106,Online,WHS-02,2024-01-27,2024-01-27,2024-02-03,2024-02-09,172,34.64,23.8,CUST-0173,PRD-001,Ege
ORD-10107,Retail,WHS-05,2025-07-11,2025-07-12,2025-07-16,2025-07-22,367,21.99,18.83,CUST-0282,PRD-001,Akdeniz
ORD-10108,Online,WHS-03,2024-01-11,2024-01-14,2024-01-15,2024-01-26,231,101.36,76.2,CUST-0152,PRD-002,Akdeniz
ORD-10109,Retail,WHS-05,2024-10-15,2024-10-16,2024-10-20,2024-10-24,471,56.94,49.63,CUST-0201,PRD-002,Akdeniz
ORD-10110,Retail,WHS-05,2024-10-22,2024-10-22,2024-10-23,2024-11-01,65,76.48,56.63,CUST-0039,PRD-003,Marmara
ORD-10111,Wholesale,WHS-02,2024-04-17,2024-04-20,2024-04-23,2024-04-29,528,37.48,32.07,CUST-0017,PRD-002,Marmara
ORD-10112,Online,WHS-01,2024-01-12,2024-01-14,2024-01-21,2024-01-26,85,80.9,54.41,CUST-0198,PRD-004,İç Anadolu
ORD-10113,Online,WHS-02,2024-09-24,2024-09-26,2024-09-28,2024-10-07,542,11.89,7.96,CUST-0199,PRD-001,Marmara
ORD-10114,Wholesale,WHS-02,2024-03-26,2024-03-27,2024-04-03,2024-04-08,523,43.95,27.3,CUST-0215,PRD-001,Marmara
ORD-10115,Retail,WHS-06,2025-02-05,2025-02-07,2025-02-09,2025-02-16,277,70.6,53.76,CUST-0108,PRD-004,Akdeniz
ORD-10116,Online,WHS-02,2024-06-19,2024-06-20,2024-06-27,2024-07-04,368,74.1,47.93,CUST-0004,PRD-001,İç Anadolu
ORD-10117,Retail,WHS-01,2024-06-09,2024-06-13,2024-06-15,2024-06-27,454,10.8,6.83,CUST-0251,PRD-003,Marmara
ORD-10118,Online,WHS-05,2025-02-19,2025-02-21,2025-02-24,2025-03-03,33,83.37,62.54,CUST-0245,PRD-004,Ege
ORD-10119,Online,WHS-04,2025-01-11,2025-01-12,2025-01-18,2025-01-27,363,66.64,44.19,CUST-0177,PRD-003,İç Anadolu
ORD-10120,Online,WHS-06,2024-11-19,2024-11-20,2024-11-26,2024-12-01,436,10.42,6.34,CUST-0073,PRD-003,Akdeniz
ORD-10121,Online,WHS-01,2024-05-19,2024-05-21,2024-05-23,2024-05-28,65,34.97,24.42,CUST-0295,PRD-004,Akdeniz
ORD-10122,Wholesale,WHS-06,2024-01-11,2024-01-15,2024-01-17,2024-01-26,568,13.16,9.87,CUST-0063,PRD-002,Akdeniz
ORD-10123,Online,WHS-03,2024-12-31,2025-01-01,2025-01-04,2025-01-06,222,12.61,7.75,CUST-0262,PRD-001,Marmara
ORD-10124,Online,WHS-06,2025-06-04,2025-06-06,2025-06-10,2025-06-20,577,34.16,24.52,CUST-0062,PRD-001,İç Anadolu
ORD-10125,Wholesale,WHS-03,2024-04-29,2024-05-03,2024-05-10,2024-05-19,333,113.65,72.12,CUST-0267,PRD-001,Ege
ORD-10126,Wholesale,WHS-03,2025-06-24,2025-06-24,2025-06-27,2025-07-06,336,9.92,7.66,CUST-0025,PRD-001,Akdeniz
ORD-10127,Wholesale,WHS-03,2024-05-03,2024-05-05,2024-05-10,2024-05-20,458,90.9,77.16,CUST-0284,PRD-001,Ege
ORD-10128,Online,WHS-01,2024-02-09,2024-02-13,2024-02-19,2024-03-03,119,87.2,66.85,CUST-0040,PRD-003,Ege
ORD-10129,Online,WHS-05,2024-09-18,2024-09-20,2024-09-24,2024-09-25,575,104.76,70.05,CUST-0045,PRD-001,Marmara
ORD-10130,Online,WHS-02,2024-07-09,2024-07-11,2024-07-17,2024-07-29,11,115.89,71.12,CUST-0249,PRD-003,Akdeniz
ORD-10131,Wholesale,WHS-02,2024-12-28,2025-01-01,2025-01-07,2025-01-14,86,103.57,66.35,CUST-0012,PRD-003,Ege
ORD-10132,Retail,WHS-05,2024-04-22,2024-04-22,2024-04-23,2024-05-01,227,37.4,33.25,CUST-0163,PRD-004,Ege
ORD-10133,Retail,WHS-03,2025-03-30,2025-03-31,2025-04-01,2025-04-03,416,84.65,52.45,CUST-0278,PRD-004,Ege
ORD-10134,Retail,WHS-04,2024-07-10,2024-07-10,2024-07-14,2024-07-20,405,63.42,48.66,CUST-0120,PRD-003,İç Anadolu
ORD-10135,Retail,WHS-02,2024-10-11,2024-10-14,2024-10-18,2024-10-29,231,65.61,49.58,CUST-0029,PRD-003,Ege
ORD-10136,Online,WHS-06,2024-03-19,2024-03-21,2024-03-24,2024-04-03,542,23.15,16.92,CUST-0004,PRD-001,İç Anadolu
ORD-10137,Wholesale,WHS-05,2024-02-08,2024-02-12,2024-02-17,2024-02-28,134,78.19,62.96,CUST-0027,PRD-003,Marmara
ORD-10138,Online,WHS-06,2025-03-15,2025-03-18,2025-03-23,2025-03-28,307,53.2,36.48,CUST-0262,PRD-003,Akdeniz
ORD-10139,Online,WHS-05,2025-05-21,2025-05-21,2025-05-23,2025-06-04,531,74.72,60.94,CUST-0281,PRD-004,İç Anadolu
ORD-10140,Retail,WHS-04,2025-06-22,2025-06-25,2025-07-01,2025-07-10,313,22.47,16.52,CUST-0050,PRD-004,Akdeniz
ORD-10141,Wholesale,WHS-03,2025-06-19,2025-06-22,2025-06-24,2025-06-27,562,44.45,39.66,CUST-0273,PRD-002,Marmara
ORD-10142,Online,WHS-06,2025-05-15,2025-05-19,2025-05-21,2025-05-29,588,38.5,28.28,CUST-0072,PRD-001,Akdeniz
ORD-10143,Retail,WHS-06,2024-12-03,2024-12-05,2024-12-10,2024-12-19,106,109.92,73.09,CUST-0179,PRD-004,Akdeniz
ORD-10144,Online,WHS-01,2024-02-15,2024-02-18,2024-02-22,2024-02-23,246,41.11,29.48,CUST-0289,PRD-001,Akdeniz
ORD-10145,Online,WHS-06,2025-08-11,2025-08-14,2025-08-16,2025-08-22,107,21.24,14.95,CUST-0174,PRD-002,Marmara
ORD-10146,Retail,WHS-02,2025-03-03,2025-03-03,2025-03-06,2025-03-19,13,86.32,75.22,CUST-0041,PRD-002,Ege
ORD-10147,Retail,WHS-04,2024-03-24,2024-03-26,2024-04-02,2024-04-09,463,101.69,72.11,CUST-0022,PRD-002,Ege
ORD-10148,Wholesale,WHS-03,2024-01-14,2024-01-16,2024-01-18,2024-01-24,16,28.34,23.53,CUST-0243,PRD-002,İç Anadolu
ORD-10149,Wholesale,WHS-06,2024-11-04,2024-11-06,2024-11-10,2024-11-12,553,130.49,79.73,CUST-0131,PRD-004,Akdeniz
ORD-10150,Retail,WHS-03,2025-03-20,2025-03-24,2025-03-30,2025-03-31,336,29.42,18.06,CUST-0024,PRD-004,İç Anadolu
ORD-10151,Online,WHS-04,2024-12-29,2025-01-01,2025-01-05,2025-01-13,566,99.91,70.03,CUST-0250,PRD-001,Akdeniz
ORD-10152,Retail,WHS-04,2024-11-30,2024-12-01,2024-12-05,2024-12-11,299,36.94,25.76,CUST-0246,PRD-001,Ege
ORD-10153,Wholesale,WHS-05,2025-07-05,2025-07-09,2025-07-16,2025-07-17,524,50.94,35.4,CUST-0298,PRD-004,Ege
ORD-10154,Retail,WHS-06,2025-01-09,2025-01-13,2025-01-18,2025-01-24,557,37.23,23.54,CUST-0111,PRD-002,Ege
ORD-10155,Wholesale,WHS-01,2024-05-09,2024-05-09,2024-05-12,2024-05-21,32,35.76,24.36,CUST-0164,PRD-001,Akdeniz
ORD-10156,Wholesale,WHS-03,2024-09-26,2024-09-27,2024-10-02,2024-10-12,365,46.72,37.32,CUST-0171,PRD-004,Ege
ORD-10157,Online,WHS-01,2024-10-10,2024-10-10,2024-10-13,2024-10-18,208,63.64,40.6,CUST-0044,PRD-004,Akdeniz
ORD-10158,Wholesale,WHS-06,2024-09-07,2024-09-11,2024-09-15,2024-09-17,338,13.01,9.28,CUST-0020,PRD-002,Akdeniz
ORD-10159,Online,WHS-01,2024-02-04,2024-02-08,2024-02-13,2024-02-24,165,49.15,43.04,CUST-0276,PRD-001,İç Anadolu
ORD-10160,Retail,WHS-03,2024-05-05,2024-05-06,2024-05-07,2024-05-09,189,60.87,48.51,CUST-0178,PRD-003,İç Anadolu
ORD-10161,Retail,WHS-04,2025-01-18,2025-01-22,2025-01-26,2025-01-28,379,20.96,17.18,CUST-0264,PRD-001,İç Anadolu
ORD-10162,Retail,WHS-05,2024-03-26,2024-03-27,2024-03-28,2024-04-04,123,112.42,75.85,CUST-0114,PRD-002,İç Anadolu
ORD-10163,Online,WHS-02,2024-10-29,2024-10-29,2024-11-02,2024-11-13,349,83.85,56.71,CUST-0147,PRD-003,Akdeniz
ORD-10164,Retail,WHS-05,2024-03-09,2024-03-09,2024-03-11,2024-03-23,579,104.57,78.29,CUST-0176,PRD-001,Akdeniz
ORD-10165,Online,WHS-05,2024-06-07,2024-06-07,2024-06-10,2024-06-14,385,100.49,62.39,CUST-0019,PRD-002,Marmara
ORD-10166,Retail,WHS-02,2024-10-05,2024-10-07,2024-10-12,2024-10-23,348,39.92,27.27,CUST-0213,PRD-003,Marmara
ORD-10167,Online,WHS-04,2024-05-22,2024-05-26,2024-05-29,2024-06-10,477,70.09,49.74,CUST-0291,PRD-004,Ege
ORD-10168,Retail,WHS-02,2024-01-03,2024-01-07,2024-01-09,2024-01-17,454,46.41,40.94,CUST-0154,PRD-001,İç Anadolu
ORD-10169,Online,WHS-02,2024-10-19,2024-10-22,2024-10-26,2024-11-06,347,98.99,65.97,CUST-0021,PRD-003,Akdeniz
ORD-10170,Wholesale,WHS-05,2025-02-02,2025-02-02,2025-02-06,2025-02-17,55,15.38,9.52,CUST-0275,PRD-002,Akdeniz
ORD-10171,Retail,WHS-05,2025-01-07,2025-01-10,2025-01-16,2025-01-27,160,58.39,45.44,CUST-0158,PRD-002,Akdeniz
ORD-10172,Retail,WHS-01,2024-03-30,2024-03-30,2024-04-05,2024-04-16,267,68.2,56.08,CUST-0159,PRD-003,Marmara
ORD-10173,Wholesale,WHS-01,2025-03-20,2025-03-21,2025-03-25,2025-03-29,456,17.9,11.53,CUST-0172,PRD-004,Ege
ORD-10174,Online,WHS-02,2024-05-20,2024-05-24,2024-05-30,2024-06-11,30,30.18,20.9,CUST-0121,PRD-001,İç Anadolu
ORD-10175,Retail,WHS-01,2024-10-19,2024-10-22,2024-10-24,2024-11-01,535,101.6,68.84,CUST-0146,PRD-003,Ege
ORD-10176,Retail,WHS-01,2024-08-29,2024-09-02,2024-09-09,2024-09-10,487,96.2,70.19,CUST-0149,PRD-001,İç Anadolu
ORD-10177,Retail,WHS-05,2025-02-22,2025-02-25,2025-03-04,2025-03-15,594,60.31,52.4,CUST-0258,PRD-004,İç Anadolu
ORD-10178,Wholesale,WHS-05,2025-07-07,2025-07-11,2025-07-18,2025-07-27,463,94.26,79.34,CUST-0019,PRD-004,Ege
ORD-10179,Retail,WHS-06,2024-10-14,2024-10-18,2024-10-24,2024-10-28,357,66.21,49.68,CUST-0070,PRD-001,Ege
ORD-10180,Wholesale,WHS-04,2025-07-14,2025-07-17,2025-07-19,2025-07-31,521,14.94,10.24,CUST-0264,PRD-002,Marmara
ORD-10181,Retail,WHS-03,2025-01-15,2025-01-16,2025-01-19,2025-01-25,134,117.01,79.56,CUST-0209,PRD-003,Ege
ORD-10182,Retail,WHS-06,2024-09-20,2024-09-23,2024-09-25,2024-09-29,457,26.97,18.15,CUST-0208,PRD-002,Akdeniz
ORD-10183,Retail,WHS-06,2024-02-24,2024-02-27,2024-02-28,2024-03-11,519,92.75,74.54,CUST-0115,PRD-004,Marmara
ORD-10184,Retail,WHS-05,2024-09-04,2024-09-07,2024-09-08,2024-09-17,290,63.92,44.07,CUST-0231,PRD-004,Akdeniz
ORD-10185,Online,WHS-05,2025-04-04,2025-04-07,2025-04-09,2025-04-22,485,28.69,22.05,CUST-0258,PRD-003,Akdeniz
